PID,Stimulus,Attentive,Distraction,Key,Correct,Timestamp,Reactiontime
2,list,True,True,Q,True,67718338,755
2,beispiel,True,True,P,True,67719753,413
2,Red,False,True,Q,False,67721241,487
2,Red,False,True,Q,False,67722586,343
2,bottle,True,False,Q,True,67724137,550
2,ei,True,False,P,True,67725905,767
2,Green,False,False,P,False,67727242,335
2,Green,False,False,P,False,67728602,359
2,Red,False,True,Q,False,67730114,511
2,bottle,True,True,Q,True,67731705,589
2,Green,False,False,P,False,67733586,879
2,mund,True,False,P,True,67735241,653
2,Green,False,False,P,False,67736785,543
2,Green,False,False,P,False,67738138,352
2,Red,False,False,Q,False,67739633,494
2,Green,False,False,P,False,67741698,1063
2,bottle,True,False,Q,True,67743371,671
2,bottle,True,True,Q,True,67745721,1348
2,ei,True,False,P,True,67747330,607
2,chair,True,False,Q,True,67749105,773
2,mouth,True,False,Q,True,67750754,648
2,mushroom,True,False,Q,True,67752297,541
2,Green,False,False,P,False,67753953,654
2,tree,True,False,Q,True,67755585,630
2,Red,False,False,P,False,67757073,487
2,ei,True,True,P,True,67758889,815
2,keyboard,True,False,Q,True,67760930,1039
2,rectangle,True,True,Q,True,67762978,1046
2,heilig,True,True,P,True,67764578,599
2,datei,True,True,P,True,67766458,878
2,bottle,True,False,Q,True,67768170,711
2,tastatur,True,False,P,True,67769770,598
2,tastatur,True,True,P,True,67771554,782
2,chair,True,False,Q,True,67773098,542
2,holy,True,True,Q,True,67774945,845
2,file,True,False,Q,True,67776537,590
2,chair,True,False,Q,True,67778002,463
2,example,True,False,Q,True,67779569,566
2,list,True,False,Q,True,67781122,551
2,Red,False,False,Q,False,67782698,575
2,datei,True,False,P,True,67784250,551
2,list,True,True,Q,True,67785682,431
2,tastatur,True,False,P,True,67787121,438
2,Red,False,False,Q,False,67788563,441
2,datei,True,False,P,True,67790801,1237
2,stuhl,True,False,P,True,67793794,1992
2,chair,True,False,Q,True,67795354,558
2,Green,False,False,P,False,67797130,775
2,Green,False,False,P,False,67798594,462
2,flasche,True,True,P,True,67800412,816
2,holy,True,False,Q,True,67801905,492
2,rectangle,True,False,P,False,67803506,599
